COLL_DATE,MODEL,YIL,KM,RENK,FIYAT,ILAN_TARIHI,IL_ILCE,ID,YAKIT,VITES,MARKA
7/17/2020,A3 Sedan 1.6 TDI,2015,76300,Siyah,207500,"16 Temmuz

2020",Ýstanbul,831657379,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2018,14000,Siyah,319750,"16 Temmuz

2020",Ýstanbul,841849764,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2014,131000,Siyah,192000,"16 Temmuz

2020",Rize,841845249,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2016,77000,Siyah,261000,"16 Temmuz

2020",Ýstanbul,841676307,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2014,34000,Siyah,238500,"16 Temmuz

2020",Kocaeli,833525497,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2018,46000,Siyah,263750,"16 Temmuz

2020",Ýstanbul,841840173,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,58116,Beyaz,248750,"16 Temmuz

2020",Antalya,841836708,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2018,43000,Mavi,247000,"16 Temmuz

2020",Antalya,841835763,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2014,62000,Bej,235000,"16 Temmuz

2020",Muðla,841820613,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2018,57000,Siyah,239000,"16 Temmuz

2020",Ýstanbul,841817241,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2016,66500,Siyah,235000,"16 Temmuz

2020",Ýzmir,841719861,dizel,otomatik,audi-a3-a3-sedan
